date,timestamp,expiration,strike,right,open,high,low,close,bid,ask,mid_price,underlying_price
2025-12-08,2025-12-08 21:00:00+00:00,2025-12-09,624.0,call,0.0,0.0,0.0,0.0,2.03,2.05,2.04,624.19
2025-12-08,2025-12-08 21:00:00+00:00,2025-12-09,624.0,put,0.0,0.0,0.0,0.0,1.77,1.81,1.79,624.19
2025-12-09,2025-12-09 21:00:00+00:00,2025-12-10,625.0,call,0.0,0.0,0.0,0.0,2.72,2.74,2.7300000000000004,625.11
2025-12-09,2025-12-09 21:00:00+00:00,2025-12-10,625.0,put,0.0,0.0,0.0,0.0,2.54,2.58,2.56,625.11
2025-12-10,2025-12-10 21:00:00+00:00,2025-12-11,628.0,call,0.0,0.0,0.0,0.0,2.45,2.5,2.475,627.53
2025-12-10,2025-12-10 21:00:00+00:00,2025-12-11,628.0,put,0.0,0.0,0.0,0.0,2.83,2.87,2.85,627.53
2025-12-11,2025-12-11 21:00:00+00:00,2025-12-12,626.0,call,0.0,0.0,0.0,0.0,2.25,2.28,2.2649999999999997,625.6
2025-12-11,2025-12-11 21:00:00+00:00,2025-12-12,626.0,put,0.0,0.0,0.0,0.0,2.49,2.54,2.515,625.6
2025-12-12,2025-12-12 21:00:00+00:00,2025-12-15,614.0,call,0.0,0.0,0.0,0.0,2.57,2.62,2.5949999999999998,613.57
2025-12-12,2025-12-12 21:00:00+00:00,2025-12-15,614.0,put,0.0,0.0,0.0,0.0,2.88,2.95,2.915,613.57
2025-12-15,2025-12-15 21:00:00+00:00,2025-12-16,610.0,call,0.0,0.0,0.0,0.0,2.7,2.72,2.71,610.49
2025-12-15,2025-12-15 21:00:00+00:00,2025-12-16,610.0,put,0.0,0.0,0.0,0.0,2.16,2.18,2.17,610.49
2025-12-16,2025-12-16 21:00:00+00:00,2025-12-17,612.0,call,0.0,0.0,0.0,0.0,2.2,2.24,2.22,611.8
2025-12-16,2025-12-16 21:00:00+00:00,2025-12-17,612.0,put,0.0,0.0,0.0,0.0,2.33,2.36,2.3449999999999998,611.8
